Item Name,,Link
Teensy 3.2,1,(Mouser) 474-DEV-13736
Usb cable,1,(Mouser) 474-CAB-10215
Jumper wires,1,(Mouser) 474-PRT-00124
Breadboard fullsize,1,(Mouser) 474-PRT-12615
Instrumentation amp AD622,2,https://www.digikey.pt/products/en?keywords=AD622ANZ
Opamp,2,https://www.digikey.pt/products/en?keywords=lm358pe3
Resistor assortment,1,https://www.sparkfun.com/products/10969
Capacitor assortment,1,https://www.sparkfun.com/products/13698
Battery holder 2xAA to make +/- rails,2,https://www.digikey.pt/product-detail/en/adafruit-industries-llc/3858/1528-2706-ND/9658064
LEDs ,3,https://pt.farnell.com/multicomp/mcl059purgw/led-5mm-hi-red-grn-16mcd-15mcd/dp/1581197
Disposable contacts ,10,https://www.sparkfun.com/products/12969
Electrode Wires,1,https://www.sparkfun.com/products/12970
Audio to breadboard,1,https://www.sparkfun.com/products/11570
Multimeter,1,https://pt.farnell.com/tenma/72-13440/dmm-handheld-manual-2000-count/dp/2887387?ost=2887387
,,
Picoscope 2204A with probes,1,https://pt.farnell.com/pico-technology/picoscope-2204a/oscilloscope-pc-10mhz-with-awg/dp/2365425?ost=2365425
